,state,year,value
222,Connecticut,2014,3594783
223,Delaware,2014,932596
224,District of Columbia,2014,662513
225,Florida,2014,19860330
226,Georgia,2014,10069001
227,Guam,2014,160967
228,Hawaii,2014,1414862
229,Idaho,2014,1631479
230,Illinois,2014,12888962
231,Indiana,2014,6593533
232,Iowa,2014,3109504
233,Kansas,2014,2900896
234,Kentucky,2014,4414483
235,Louisiana,2014,4644204
236,Maine,2014,1330760
237,Maryland,2014,5958165
238,Massachusetts,2014,6763652
239,Michigan,2014,9930589
240,Minnesota,2014,5451522
241,Mississippi,2014,2990623
242,Missouri,2014,6056293
243,Montana,2014,1021891
244,Nebraska,2014,1879522
245,Nevada,2014,2819012
246,New Hampshire,2014,1333223
247,New Jersey,2014,8866780
248,New Mexico,2014,2090342
249,New York,2014,19656330
250,North Carolina,2014,9933944
251,North Dakota,2014,737382
252,Ohio,2014,11602973
253,Oklahoma,2014,3878367
254,Oregon,2014,3964106
255,Pennsylvania,2014,12789101
256,Rhode Island,2014,1056017
257,South Carolina,2014,4823793
258,South Dakota,2014,849088
259,Tennessee,2014,6540826
260,Texas,2014,26977142
261,Utah,2014,2937399
262,Vermont,2014,625218
263,Virginia,2014,8312076
264,Washington,2014,7052439
265,West Virginia,2014,1849467
266,Wisconsin,2014,5751974
267,Wyoming,2014,582548
268,U.S. Virgin Islands,2014,107884
269,Puerto Rico,2014,3534874
270,Alabama,2015,4853160
271,Alaska,2015,737547
272,Arizona,2015,6833596
273,Arkansas,2015,2978407
274,California,2015,38953142
275,Colorado,2015,5452107
276,Connecticut,2015,3587509
277,Delaware,2015,941413
278,District of Columbia,2015,675254
279,Florida,2015,20224249
280,Georgia,2015,10181111
281,Guam,2015,161797
282,Hawaii,2015,1422484
283,Idaho,2015,1651523
284,Illinois,2015,12864342
285,Indiana,2015,6608296
286,Iowa,2015,3121460
287,Kansas,2015,2909502
288,Kentucky,2015,4425999
289,Louisiana,2015,4664851
290,Maine,2015,1328484
291,Maryland,2015,5986717
292,Massachusetts,2015,6795891
293,Michigan,2015,9932573
294,Minnesota,2015,5482503
295,Mississippi,2015,2988693
296,Missouri,2015,6071745
297,Montana,2015,1030503
298,Nebraska,2015,1891507
299,Nevada,2015,2868666
300,New Hampshire,2015,1336294
301,New Jersey,2015,8870869
302,New Mexico,2015,2090211
303,New York,2015,19661411
304,North Carolina,2015,10033079
305,North Dakota,2015,754022
306,Ohio,2015,11617850
307,Oklahoma,2015,3909831
308,Oregon,2015,4016918
309,Pennsylvania,2015,12785759
310,Rhode Island,2015,1056173
311,South Carolina,2015,4892253
312,South Dakota,2015,853933
313,Tennessee,2015,6590808
314,Texas,2015,27486814
315,Utah,2015,2982497
316,Vermont,2015,625197
317,Virginia,2015,8362907
318,Washington,2015,7163543
319,West Virginia,2015,1841996
320,Wisconsin,2015,5761406
321,Wyoming,2015,585668
322,U.S. Virgin Islands,2015,107710
323,Puerto Rico,2015,3473166
324,Alabama,2016,4864745
325,Alaska,2016,741504
326,Arizona,2016,6945452
327,Arkansas,2016,2990410
328,California,2016,39209127
329,Colorado,2016,5540921
330,Connecticut,2016,3578674
331,Delaware,2016,949216
332,District of Columbia,2016,686575
333,Florida,2016,20629982
334,Georgia,2016,10304763
335,Guam,2016,162896
336,Hawaii,2016,1428105
337,Idaho,2016,1682930
338,Illinois,2016,12826895
339,Indiana,2016,6633344
340,Iowa,2016,3131785
341,Kansas,2016,2911263
342,Kentucky,2016,4438229
343,Louisiana,2016,4678215
344,Maine,2016,1331370
345,Maryland,2016,6004692
346,Massachusetts,2016,6826022
347,Michigan,2016,9951890
348,Minnesota,2016,5523409
349,Mississippi,2016,2988298
350,Missouri,2016,6087203
351,Montana,2016,1040863
352,Nebraska,2016,1905924
353,Nevada,2016,2919772
354,New Hampshire,2016,1342373
355,New Jersey,2016,8874516
356,New Mexico,2016,2092789
357,New York,2016,19641589
358,North Carolina,2016,10156679
359,North Dakota,2016,754353
360,Ohio,2016,11635003
361,Oklahoma,2016,3926769
362,Oregon,2016,4091404
363,Pennsylvania,2016,12783538
364,Rhode Island,2016,1057063
365,South Carolina,2016,4958235
366,South Dakota,2016,862890
367,Tennessee,2016,6645011
368,Texas,2016,27937492
369,Utah,2016,3042613
370,Vermont,2016,623644
371,Virginia,2016,8410946
372,Washington,2016,7294680
373,West Virginia,2016,1830929
374,Wisconsin,2016,5772958
375,Wyoming,2016,584290
376,U.S. Virgin Islands,2016,107510
377,Puerto Rico,2016,3406495
378,Alabama,2017,4875120
379,Alaska,2017,739786
380,Arizona,2017,7048876
381,Arkansas,2017,3002997
382,California,2017,39399349
383,Colorado,2017,5615902
384,Connecticut,2017,3573880
385,Delaware,2017,957078
386,District of Columbia,2017,695691
387,Florida,2017,20976812
388,Georgia,2017,10413055
389,Guam,2017,164229
390,Hawaii,2017,1424203
391,Idaho,2017,1718904
392,Illinois,2017,12786196
393,Indiana,2017,6660082
394,Iowa,2017,3143637
395,Kansas,2017,2910689
396,Kentucky,2017,4453874
397,Louisiana,2017,4670818
398,Maine,2017,1335063
399,Maryland,2017,6024891
400,Massachusetts,2017,6863246
401,Michigan,2017,9976447
402,Minnesota,2017,5568155
403,Mississippi,2017,2989663
404,Missouri,2017,6108612
405,Montana,2017,1053090
406,Nebraska,2017,1917575
407,Nevada,2017,2972405
408,New Hampshire,2017,1349767
409,New Jersey,2017,8888543
410,New Mexico,2017,2093395
411,New York,2017,19590719
412,North Carolina,2017,10270800
413,North Dakota,2017,755176
414,Ohio,2017,11664129
415,Oklahoma,2017,3932640
416,Oregon,2017,4146592
417,Pennsylvania,2017,12790447
418,Rhode Island,2017,1056486
419,South Carolina,2017,5021219
420,South Dakota,2017,873286
421,Tennessee,2017,6708794
422,Texas,2017,28322717
423,Utah,2017,3103118
424,Vermont,2017,624525
425,Virginia,2017,8465207
426,Washington,2017,7425432
427,West Virginia,2017,1817048
428,Wisconsin,2017,5792051
429,Wyoming,2017,578934
430,U.S. Virgin Islands,2017,107268
431,Puerto Rico,2017,3325001
432,Alabama,2018,4887871
